1.5392e+09,3.7107
1.5392e+09,4.1301
1.5392e+09,4.9454
1.5392e+09,5.4022
1.5392e+09,5.8981
1.5392e+09,0.52865
1.5392e+09,0.77659
1.5392e+09,1.0494
1.5392e+09,1.4851
1.5392e+09,1.9496
1.5392e+09,2.7737
1.5392e+09,2.7816
1.5392e+09,2.7876
1.5392e+09,2.7717
1.5392e+09,2.7744
1.5392e+09,2.7592
1.5392e+09,4.9192
1.5392e+09,5.3712
1.5392e+09,5.9329
1.5392e+09,6.2594
1.5392e+09,0.30484
1.5392e+09,0.94909
1.5392e+09,1.7652
1.5392e+09,1.842
1.5392e+09,2.2618
1.5392e+09,2.7258
1.5392e+09,3.2383
1.5392e+09,3.6321
1.5392e+09,3.8238
1.5392e+09,1.2294
1.5392e+09,4.7366
1.5392e+09,5.2457
1.5392e+09,5.4851
1.5392e+09,6.1637
1.5392e+09,0.30408
1.5392e+09,0.94191
1.5392e+09,1.2188
1.5392e+09,1.6009
1.5392e+09,1.9361
1.5392e+09,2.1566
1.5392e+09,2.7833
1.5392e+09,3.19
1.5392e+09,3.7164
1.5392e+09,4.6547
1.5392e+09,4.7256
1.5392e+09,5.4777
1.5392e+09,5.5431
1.5392e+09,5.8961
1.5392e+09,0.1094
1.5392e+09,0.13219
1.5392e+09,0.13598
1.5392e+09,0.13282
1.5392e+09,0.13724
1.5392e+09,2.6252
1.5392e+09,2.9317
1.5392e+09,3.2957
1.5392e+09,3.6477
1.5392e+09,4.0207
1.5392e+09,4.506
1.5392e+09,4.8486
1.5392e+09,5.2121
1.5392e+09,5.6015
1.5392e+09,6.0271
1.5392e+09,0.27067
1.5392e+09,0.58516
1.5392e+09,1.9276
1.5392e+09,2.3586
1.5392e+09,2.6738
1.5392e+09,3.0723
1.5392e+09,3.1364
1.5392e+09,3.9345
1.5392e+09,4.2706
1.5392e+09,4.6813
1.5392e+09,5.0081
1.5392e+09,5.591
1.5392e+09,6.0859
1.5392e+09,0.15351
1.5392e+09,0.42453
1.5392e+09,0.93557
1.5392e+09,1.3437
1.5392e+09,1.6756
1.5392e+09,2.066
1.5392e+09,2.3805
1.5392e+09,2.7072
1.5392e+09,3.0545
1.5392e+09,3.5315
1.5392e+09,3.9174
1.5392e+09,4.0602
1.5392e+09,4.4107
1.5392e+09,4.9849
1.5392e+09,5.3375
1.5392e+09,5.6178
1.5392e+09,5.9304
1.5392e+09,0.1529
1.5392e+09,0.46058
1.5392e+09,0.8949
1.5392e+09,1.3482
1.5392e+09,1.5747
1.5392e+09,1.8498
1.5392e+09,2.2332
1.5392e+09,2.5336
1.5392e+09,2.9279
1.5392e+09,3.524
1.5392e+09,3.9213
1.5392e+09,4.2662
1.5392e+09,4.6756
1.5392e+09,5.6784
1.5392e+09,6.0446
1.5392e+09,0.33329
1.5392e+09,3.6428
1.5392e+09,1.201
1.5392e+09,1.4973
1.5392e+09,1.7111
1.5392e+09,2.323
1.5392e+09,2.6008
1.5392e+09,2.98
1.5392e+09,3.3349
1.5392e+09,3.6446
1.5392e+09,4.2759
1.5392e+09,4.6533
1.5392e+09,4.6394
1.5392e+09,4.672
1.5392e+09,4.6699
1.5392e+09,4.6242
1.5392e+09,0.14829
1.5392e+09,0.82208
1.5392e+09,1.2517
1.5392e+09,1.4793
1.5392e+09,1.9223
1.5392e+09,2.4813
1.5392e+09,2.7417
1.5392e+09,3.1063
1.5392e+09,3.3844
1.5392e+09,3.9275
1.5392e+09,4.3829
1.5392e+09,4.524
1.5392e+09,4.5275
1.5392e+09,5.3193
1.5392e+09,5.986
1.5392e+09,0.0040047
1.5392e+09,0.1055
1.5392e+09,0.45414
1.5392e+09,0.81703
1.5392e+09,1.2752
1.5392e+09,1.8042
1.5392e+09,2.3895
1.5392e+09,2.4844
1.5392e+09,3.0087
1.5392e+09,3.4757
1.5392e+09,4.0298
1.5392e+09,4.7792
1.5392e+09,5.1481
1.5392e+09,5.9782
1.5392e+09,5.9441
1.5392e+09,0.26678
1.5392e+09,0.68117
1.5392e+09,0.95137
1.5392e+09,1.504
1.5392e+09,2.0726
1.5392e+09,2.4218
1.5392e+09,2.936
